ID,Source Type,Source Name,Source IP,User ID,Username,Domain,Action,Status,Auth Method,Client IP,Client Port,Server IP,Server Port,Session ID,User Agent,Timestamp,Created At,Is Encrypted,Retention Date,Details
f72bea04-1e6f-49d0-8571-ebdca9d83910,SYSTEM,Auth API,127.0.0.1,admin,admin,,LOGIN,SUCCESS,PASSWORD,127.0.0.1,,,,,,2025-07-21 18:24:27.999566+00:00,2025-07-21 18:24:28.013442+00:00,True,2025-10-19 18:24:27.999703+00:00,ไม่สามารถถอดรหัสได้
dea77ea0-e3ff-446f-b5f7-8a7c20fb7208,SYSTEM,Auth API,127.0.0.1,admin,admin,,LOGIN,SUCCESS,PASSWORD,127.0.0.1,,,,,,2025-07-21 18:20:02.481451+00:00,2025-07-21 18:20:02.488491+00:00,True,2025-10-19 18:20:02.481586+00:00,ไม่สามารถถอดรหัสได้
aa1f79f0-0029-45a4-864a-f2fbee334603,SYSTEM,Auth API,127.0.0.1,admin,admin,,LOGIN,SUCCESS,PASSWORD,127.0.0.1,,,,,,2025-07-21 18:12:12.109167+00:00,2025-07-21 18:12:12.124527+00:00,True,2025-10-19 18:12:12.109339+00:00,ไม่สามารถถอดรหัสได้
6cd987f4-63a6-4e27-8ffe-726883d37779,SYSTEM,Auth API,127.0.0.1,admin,admin,,LOGIN,SUCCESS,PASSWORD,127.0.0.1,,,,,,2025-07-21 17:58:37.975196+00:00,2025-07-21 17:58:37.982433+00:00,True,2025-10-19 17:58:37.975265+00:00,ไม่สามารถถอดรหัสได้
7d4ec6ae-ec9a-40ef-962f-220f7f886d1c,SYSTEM,Auth API,127.0.0.1,admin,admin,,LOGIN,SUCCESS,PASSWORD,127.0.0.1,,,,,,2025-07-21 17:57:56.111243+00:00,2025-07-21 17:57:56.119685+00:00,True,2025-10-19 17:57:56.111547+00:00,ไม่สามารถถอดรหัสได้
f1a503ca-83aa-4ce0-8dc7-a2ce972854f9,SYSTEM,Auth API,127.0.0.1,admin,admin,,LOGIN,SUCCESS,PASSWORD,127.0.0.1,,,,,,2025-07-21 17:54:19.353564+00:00,2025-07-21 17:54:19.354911+00:00,True,2025-10-19 17:54:19.353615+00:00,ไม่สามารถถอดรหัสได้
336916b8-6475-43a6-ab29-c63931c4bd53,SYSTEM,Auth API,127.0.0.1,admin,admin,,LOGOUT,SUCCESS,TOKEN,127.0.0.1,,,,,,2025-07-21 17:54:17.990127+00:00,2025-07-21 17:54:17.997582+00:00,True,2025-10-19 17:54:17.990278+00:00,ไม่สามารถถอดรหัสได้
2bfb3999-2214-4d53-9c23-2ac41db3e1e1,SYSTEM,Auth API,127.0.0.1,admin,admin,,LOGIN,SUCCESS,PASSWORD,127.0.0.1,,,,,,2025-07-21 17:53:54.871171+00:00,2025-07-21 17:53:54.874825+00:00,True,2025-10-19 17:53:54.871209+00:00,ไม่สามารถถอดรหัสได้
0008a65e-b791-46e0-ab24-d98a0278313e,SYSTEM,Auth API,127.0.0.1,admin,admin,,LOGIN,SUCCESS,PASSWORD,127.0.0.1,,,,,,2025-07-21 17:51:38.516321+00:00,2025-07-21 17:51:38.519774+00:00,True,2025-10-19 17:51:38.516345+00:00,ไม่สามารถถอดรหัสได้
7fbc73a7-c33d-49e9-8add-ba146c7b9f18,SYSTEM,Auth API,127.0.0.1,admin,admin,,LOGIN,SUCCESS,PASSWORD,127.0.0.1,,,,,,2025-07-21 17:50:38.331756+00:00,2025-07-21 17:50:38.337892+00:00,True,2025-10-19 17:50:38.331865+00:00,ไม่สามารถถอดรหัสได้
430b646a-789f-434b-83f3-447b2b6201a2,SYSTEM,Auth API,127.0.0.1,admin,admin,,LOGIN,SUCCESS,PASSWORD,127.0.0.1,,,,,,2025-07-21 17:42:01.825568+00:00,2025-07-21 17:42:01.829321+00:00,True,2025-10-19 17:42:01.825595+00:00,ไม่สามารถถอดรหัสได้
38c3a4d4-428a-426f-9cab-47e43030d7e0,SYSTEM,Auth API,127.0.0.1,admin,admin,,LOGIN,SUCCESS,PASSWORD,127.0.0.1,,,,,,2025-07-21 17:40:51.820893+00:00,2025-07-21 17:40:51.823089+00:00,True,2025-10-19 17:40:51.820929+00:00,ไม่สามารถถอดรหัสได้
53fa2a73-439d-4e2f-bb79-04f2a882a11d,SYSTEM,Auth API,127.0.0.1,admin,admin,,LOGOUT,SUCCESS,TOKEN,127.0.0.1,,,,,,2025-07-21 17:40:49.829953+00:00,2025-07-21 17:40:49.831956+00:00,True,2025-10-19 17:40:49.830053+00:00,ไม่สามารถถอดรหัสได้
2dbaa9b3-f32e-4f6c-b65b-74c40c4450b9,SYSTEM,Auth API,127.0.0.1,admin,admin,,LOGIN,SUCCESS,PASSWORD,127.0.0.1,,,,,,2025-07-21 17:40:22.699565+00:00,2025-07-21 17:40:22.705480+00:00,True,2025-10-19 17:40:22.699595+00:00,ไม่สามารถถอดรหัสได้
8d3da2b3-6aa1-49da-a0d5-314f656b194e,SYSTEM,Auth API,127.0.0.1,admin,admin,,LOGIN,SUCCESS,PASSWORD,127.0.0.1,,,,,,2025-07-21 17:39:38.074806+00:00,2025-07-21 17:39:38.080214+00:00,True,2025-10-19 17:39:38.074853+00:00,ไม่สามารถถอดรหัสได้
58724fe6-935e-4c70-a08c-7e97738341ab,SYSTEM,Auth API,127.0.0.1,admin,admin,,LOGIN,SUCCESS,PASSWORD,127.0.0.1,,,,,,2025-07-21 17:35:34.563882+00:00,2025-07-21 17:35:34.565878+00:00,True,2025-10-19 17:35:34.563898+00:00,ไม่สามารถถอดรหัสได้
2d562a6e-82d9-464d-b811-1baf6225c990,SYSTEM,Auth API,127.0.0.1,admin,admin,,LOGIN,SUCCESS,PASSWORD,127.0.0.1,,,,,,2025-07-21 17:15:59.491130+00:00,2025-07-21 17:15:59.506039+00:00,True,2025-10-19 17:15:59.491316+00:00,ไม่สามารถถอดรหัสได้
b09fa8a4-4fd5-4b06-93d0-1370d4aa21da,SYSTEM,Auth API,127.0.0.1,admin,admin,,LOGIN,SUCCESS,PASSWORD,127.0.0.1,,,,,,2025-07-21 16:30:09.872955+00:00,2025-07-21 16:30:09.873946+00:00,True,2025-10-19 16:30:09.872983+00:00,ไม่สามารถถอดรหัสได้
